text,class
"Gastric cardiac polyps: a clinicopathologic study of 330 cases. As endoscopists have become more skilled in sampling the gastroesophageal junction, pathologists are being increasingly challenged to characterize previously unknown or neglected findings. One such example is the cardiac polyp. Originally described in the radiology literature as the sentinel fold, the first histologic descriptions of polyps at the gastroesophageal junction did not appear until less than a decade ago. Current clinicopathologic information is limited and somewhat conflicting. This study was designed to define the clinical, endoscopic, and histopathologic associations in patients with cardiac polyps. Using an electronic database, we extracted information on all patients who had a distal esophageal or esophagogastric junctional biopsy during a 24-month period. We then reviewed the slides of 330 adult patients diagnosed with a cardiac polyp and used semiquantitative or qualitative scales to score foveolar hyperplasia, inflammation, erosion or ulcers, epithelial type, and metaplasia. As controls we used 120,487 patients who had biopsies from the same anatomic sites during the same period, but were not diagnosed with a cardiac polyp. There were no significant differences among any clinical indications for esophagogastroduodenoscopy between study and control patients. Endoscopically, a polyp or nodule at the gastroesophageal junction was noted in 59.1% of the patients who had a histopathologic diagnosis of cardiac polyp. Histologically, Barrett mucosa, active esophagitis, and Helicobactor pylori gastritis were all significantly less common in patients with a cardiac polyp than in controls. Although relatively infrequent, synchronous hyperplastic polyps elsewhere in the stomach were significantly more common in patients than in controls. In conclusion, this large series suggests that cardiac polyps are rare but histologically distinct lesions. They are benign and are not uniquely associated with esophagitis, Barrett esophagus, gastroesophageal reflux disease, reactive gastropathy, or gastritis, with or without H. pylori.",cancer
"Spectrum of pilomyxoid astrocytomas: intermediate pilomyxoid tumors. To define the spectrum of pilomyxoid morphology and to characterize the association between pilomyxoid astrocytoma (PMA) and pilocytic astrocytoma (PA), 84 cases of pediatric astrocytomas with pilomyxoid features were reviewed. Forty-two of these tumors had coexistent features of PMA and PA (""intermediate""). With the accumulation of more cytoplasm, fibrillar background, microcysts, and thickened blood vessels, these intermediate tumors were more PA-like and less like classic PMA. In the recurrent specimens, PMAs and intermediate tumors sometimes showed more prominent PA features. Both PMA and intermediate tumors involved sites outside the hypothalamus, optic chiasm, and the third ventricle. Both the existence of intermediate tumors and the finding that some PMAs and intermediate tumors mature into PA-like neoplasms over time, provided strong support for a biological relationship between PMA and PA. Additional evidence for a ""maturational effect"" was the finding that intermediate tumors occurred in patients with a median age of 36 months compared with the median age of 21 months for those with PMAs (P=0.017). Features that were often assumed to be poor prognostic indicators in gliomas, that is, necrosis, mitotic figures, and vascular proliferation, were not uncommon in typical PMAs and intermediate lesions. Further follow-up is needed to more accurately determine the prognosis of intermediate tumors.",cancer
"EBV-associated cutaneous NK/T-cell lymphoma: review of a series of 14 cases from peru in children and young adults. We have reviewed clinically, morphologically, and immunophenotypically a series of 14 Epstein-Bar virus (EBV)+ cutaneous natural killer cell (NK)/T-cell lymphoma from Peru. Most (11 out of 14) of these cases fit well into the category of Hydroa vacciniforme-like lymphoma (HVLL), but 3 have a different clinical presentation, without facial involvement. In all 14 cases, skin lesions present in both the sun-exposed and nonexposed areas exhibited a slowly progressive relapsing course, changing from edema, to blistering, ulceration, and final scarring. The immunophenotype had a cytotoxic T or NK-cell lineage. The mean time of disease before admission to hospital was 69 months (range, 6 mo to 31 y). Only 2 patients had fever, hepatosplenomegaly, systemic lymphadenopathy, and a high lactate dehydrodenage (LDH) level at the time of diagnosis, whereas 10 had facial swelling. After treatment, only 4 patients remain alive, although with persistent disease. Ten patients died after a mean follow-up of 11.6 months after the initial diagnosis (range, 1 to 32 mo), because of concurrent infections (4 cases), disease progression (4 patients) or both (2 patients). Endemic Epstein-Bar virus (EBV)-positive cutaneous NK/T-cell lymphoproliferative disorders in childhood and early adulthood are characterized by a protracted clinical course, eventually leading to an aggressive phase characterized by concurrent infections and disease progression.",cancer
"Fetal lung interstitial tumor (FLIT): A proposed newly recognized lung tumor of infancy to be differentiated from cystic pleuropulmonary blastoma and other developmental pulmonary lesions. The differential diagnosis of congenital lung lesions includes a variety of pulmonary malformations, and uncommon or rare neoplasms such as the pleuropulmonary blastoma (PPB) and congenital peribronchial myofibroblastic tumor (CPMT). Although most of the congenital lesions have a predominantly cystic appearance, the exceptions of a more solid process are the type 3 congenital cystic adenomatoid or pulmonary airway malformation (CCAM-CPAM) and the CPMT. The clinical and pathologic features of a unique solid or mixed solid/cystic lung mass composed of immature interstitial mesenchyme in association with irregular airspace-like structures mimicking abnormal incompletely developed lung are presented in this report of 10 infants (7 males, 3 females) whose tumor-like lesions were detected in the prenatal period to 3 months of age (median, 1-day old). A lobectomy was done in all 10 infants and 1 infant received adjuvant chemotherapy. One of the surgical resections occurred as an ex utero, antenatal procedure because of fetal ascites. There have been no reported recurrences in those patients with greater than 12 months of follow-up ranging from 15 to 182 months (9 cases). Because of the morphologic resemblance of this mass-like lesion to fetal lung at 20 to 24 weeks gestation (as though any further pulmonary development was arrested in these localized lesions), we are proposing the designation of fetal lung interstitial tumor (FLIT) whose pathogenetic relationship, if any, to type 1 (cystic) pleuropulmonary blastoma remains uncertain to date.",cancer
"Lymphomatoid granulomatosis: insights gained over 4 decades. Lymphomatoid granulomatosis is a rare lymphoproliferative disease involving predominantly the lung, and there is uncertainty about its relationship to lymphoma. It affects mainly middle-aged adults, although there is a wide age range, and men are affected almost twice as often as women. Multiple nodular, usually bilateral, infiltrates are seen radiographically, and extrapulmonary involvement, especially of skin and nervous system, occurs in more than one third of the patients. Mortality rates are high, and treatment modes are not well established. Morphologically, there is a nodular polymorphous mononuclear cell infiltrate with prominent vascular infiltration and often necrosis. Varying numbers of large, often atypical, CD20-positive B-lymphocytes are present within a background containing numerous CD3-positive small T lymphocytes and scattered admixed plasma cells and histiocytes. Evidence of Epstein-Barr virus infection can be shown in most cases by in-situ hybridization for Epstein-Barr virus RNA. The infiltrate is graded as 1 to 3 based on the proportion of large B cells. Morphologically, there is overlap in grades 2 and 3 with variants of large B-cell lymphoma, and many such cases show evidence of monoclonality by polymerase chain reaction. It is suggested that lymphoma (T-cell rich large B-cell or diffuse large B-cell) be diagnosed in addition to lymphomatoid granulomatosis in grades 2 and 3 to appropriately communicate the nature of the disease to clinicians.",cancer
"Reduced mortality after allogeneic hematopoietic-cell transplantation. BACKGROUND: Over the past decade, advances have been made in the care of patients undergoing transplantation. We conducted a study to determine whether these advances have improved the outcomes of transplantation. METHODS: We analyzed overall mortality, mortality not preceded by relapse, recurrent malignant conditions, and the frequency and severity of major complications of transplantation, including graft-versus-host disease (GVHD) and hepatic, renal, pulmonary, and infectious complications, among 1418 patients who received their first allogeneic transplants at our center in Seattle in the period from 1993 through 1997 and among 1148 patients who received their first allogeneic transplants in the period from 2003 through 2007. Components of the Pretransplant Assessment of Mortality (PAM) score were used in regression models to adjust for the severity of illness at the time of transplantation. RESULTS: In the 2003-2007 period, as compared with the 1993-1997 period, we observed significant decreases in mortality not preceded by relapse, both at day 200 (by 60%) and overall (by 52%), the rate of relapse or progression of a malignant condition (by 21%), and overall mortality (by 41%), after adjustment for components of the PAM score. The results were similar when the analyses were limited to patients who received myeloablative conditioning therapy. We also found significant decreases in the risk of severe GVHD; disease caused by viral, bacterial, and fungal infections; and damage to the liver, kidneys, and lungs. CONCLUSIONS: We found a substantial reduction in the hazard of death related to allogeneic hematopoietic-cell transplantation, as well as increased long-term survival, over the past decade. Improved outcomes appear to be related to reductions in organ damage, infection, and severe acute GVHD. (Funded by the National Institutes of Health.).",cancer
"Volume measurement of liver metastases using multidetector computed tomography: comparison of lesion diameter and volume segmentation - a phantom study. PURPOSE: To compare lesion volume determination by applying diameter measurement and three different segmentation algorithms at different slice thicknesses reconstructed from computed tomography (CT) of a phantom model for hepatic colorectal metastases. MATERIALS AND METHODS: Based on CT attenuation measurements obtained retrospectively from 20 patients with colorectal liver metastases, a phantom model was designed with a sponge soaked with a dilution of contrast agent and 6 embedded polyamide spheres (diameter, 8 - 30 mm) to simulate the contrast behavior of liver metastases. CT scans were obtained and reconstructed at different slice thicknesses (0.625/1.25/2.5/3.75 mm; increment, 1). One observer performed software-aided volume determination using the maximum diameter, manual segmentation, seed point method, and threshold method six times for each lesion in a randomized order. Statistical analysis revealed the absolute and relative differences from the actual lesion volumes and the intraobserver differences as well as the influence of slice thickness for each method. RESULTS: The mean relative differences of the seed point method (1.2 - 5.9%) and manual segmentation (2.6 - 4.9%) were significantly lower than the threshold method (5.4 - 12.8%) and diameter measurement (12.3 - 18.5%; p < 0.01). Volume determination by manual segmentation and the seed point method benefited from the use of thin-slice CT datasets. The intraobserver variation was lowest when using the manual segmentation (1.5 - 3.3%) and the seed point method (2.2 - 3.9%; p < 0.001). CONCLUSION: Manual segmentation and the seed point method for thin CT slices were the methods with the lowest volume differences and intraobserver variation.",cancer
"Asymmetric cell division: recent developments and their implications for tumour biology. The ability of cells to divide asymmetrically is essential for generating diverse cell types during development. The past 10 years have seen tremendous progress in our understanding of this important biological process. We have learned that localized phosphorylation events are responsible for the asymmetric segregation of cell fate determinants in mitosis and that centrosomes and microtubules play important parts in this process. The relevance of asymmetric cell division for stem cell biology has added a new dimension to the field, and exciting connections between asymmetric cell division and tumorigenesis have begun to emerge.",cancer
"MET signalling: principles and functions in development, organ regeneration and cancer. The MET tyrosine kinase receptor (also known as the HGF receptor) promotes tissue remodelling, which underlies developmental morphogenesis, wound repair, organ homeostasis and cancer metastasis, by integrating growth, survival and migration cues in response to environmental stimuli or cell-autonomous perturbations. The versatility of MET-mediated biological responses is sustained by qualitative and quantitative signal modulation. Qualitative mechanisms include the engagement of dedicated signal transducers and the subcellular compartmentalization of MET signalling pathways, whereas quantitative regulation involves MET partnering with adaptor amplifiers or being degraded through the shedding of its extracellular domain or through intracellular ubiquitylation. Controlled activation of MET signalling can be exploited in regenerative medicine, whereas MET inhibition might slow down tumour progression.",cancer
"Microgeographic variations in Burkitt's lymphoma incidence correlate with differences in malnutrition, malaria and Epstein-Barr virus. BACKGROUND: Endemic Burkitt's lymphoma (eBL) has been associated with Epstein-Barr virus (EBV) and holoendemic Plasmodium falciparum malaria. But recent evidence suggests that other risk factors are involved. METHODS: We hypothesised that selenoprotein glutathione peroxidase (GPx), a surrogate of nutritional status, is an important biomarker for eBL risk. We measured plasma GPx, anthropometric markers of malnutrition, EBV viral loads and malaria parasitaemia in children aged 1-9 years (n=258) from two locations in Nyanza Province, Kenya, with higher-than-expected and lower-than-expected incidence of eBL. The study participants were malaria asymptomatic children from the community. RESULTS: Children from eBL high-incidence areas had significantly lower GPx levels, high EBV viral load and more evidence of chronic malnutrition than children from eBL low-incidence areas (all P<0.001). Additionally, GPx levels were significantly lower in children with the highest EBV viral load and for those with P. falciparum infections (P=0.035 and P=0.004, respectively). CONCLUSIONS: These results suggest that selenium deficiency may be a risk factor for eBL.",cancer
"Angiotensin-2 receptors (AT1-R and AT2-R), new prognostic factors for renal clear-cell carcinoma? BACKGROUND: The growth factor Angiotensin-2 signals through Angiotensin receptor type 1 (AT1-R) in a broad range of cell types and tumours and through the type-2 receptor (AT2-R) in a more restricted group of cell types. Although numerous forms of cancer have been shown to overexpress AT1-R, expression of AT1-R and AT2-R by human renal clear-cell carcinoma (RCCC) is not well understood. In this study, the expression of both angiotensin receptors was quantified in a retrospective series of RCCC and correlated with prognostic factors. METHODS: Angiotensin receptor type 1 and AT2-R expressions were quantified on tumour tissues by immunohistochemistry (IHC), western blot and quantitative reverse transcriptase PCR (qRT-PCR). IHC results were correlated to Fuhrman's grade and patient progression-free survival (PFS). RESULTS: A total of 84 RCCC were analysed. By IHC, AT1-R and AT2-R were expressed to a greater level in high-grade tumours (AT1-R: P<0.001, AT2-R: P<0.001). Univariate analysis showed a correlation between PFS and AT1-R or AT2-R expression (P=0.001). By multivariate analysis, only AT2-R expression correlated with PFS (HR 1.021, P=0.006) and cancer stage (P<0.001). By western blot, AT1-R and AT1-R were also found to be overexpressed in higher Fuhrman's grade (P<0.01 and P=0.001 respectively). By qRT-PCR, AT1-R but not AT2-R mRNA were downregulated (P=0.001 and P=0.118, respectively). CONCLUSION: Our results show that AT1-R and AT2-R proteins are overexpressed in the most aggressive forms of RCCC and that AT2-R expression correlates with PFS. AT1-R or AT2-R blockage could, therefore, offer novel directions for anti-RCCC therapy.",cancer
"Surveillance of screening-detected cancers (colon and rectum, breast, and cervix) - United States, 2004-2006. PROBLEM/CONDITION: Population-based screening is conducted to detect diseases or other conditions in persons before symptoms appear; effective screening leads to early detection and treatment, thereby reducing disease-associated morbidity and mortality. Based on systematic reviews of the evidence of the benefits and harms and assessments of the net benefit of screening, the U.S. Preventive Services Task Force (USPSTF) recommends population-based screening for colon and rectum cancer, female breast cancer, and uterine cervix cancer. Few publications have used national data to examine the stage at diagnosis of these screening-amenable cancers. REPORTING PERIOD COVERED: 2004-2006. DESCRIPTION OF SYSTEMS: Data were obtained from cancer registries affiliated with CDC's National Program of Cancer Registries (NPCR) and the National Cancer Institute's Surveillance, Epidemiology, and End Results (SEER) program. Combined data from the NPCR and SEER programs provide the best source of information on national population-based cancer incidence. Data on cancer screening were obtained from the Behavioral Risk Factor Surveillance System. This report provides stage-specific cancer incidence rates and screening prevalence by demographic characteristics and U.S. state. RESULTS: Approximately half of colorectal and cervical cancer cases and one third of breast cancer cases were diagnosed at a late stage of disease. Incidence rates of late-stage cancer differed by age, race/ethnicity, and state. Incidence rates of late-stage colorectal cancer increased with age and were highest among black men and women. Incidence rates of late-stage breast cancer were highest among women aged 60-79 years and black women. Incidence rates of late-stage cervical cancer were highest among women aged 50-79 years and Hispanic women. The percentage of persons who received recommended screening differed by age, race/ethnicity, and state. INTERPRETATION: Differences in late-stage cancer incidence rates might be explained partially by differences in screening use. PUBLIC HEALTH ACTION: The findings in this report emphasize the need for ongoing population-based surveillance and reporting to monitor late-stage cancer incidence trends. Screening can identify colorectal, cervical, and breast cancers in earlier and more treatable stages of disease. Multiple factors, including individual characteristics and health behaviors as well as provider and clinical systems factors, might account for why certain populations are underscreened. Cancer control planners, including comprehensive cancer-control programs, can use late-stage cancer incidence and screening prevalence data to identify populations that would benefit from interventions to increase screening utilization and to monitor performance of early detection programs.",cancer
"Racial disparities in smoking-attributable mortality and years of potential life lost --- Missouri, 2003-2007. An estimated 443,000 deaths in the United States occur each year as a result of cigarette smoking and exposure to secondhand smoke. These deaths cost the nation approximately $97 billion in lost productivity and $96 billion in health-care costs. During 2000-2004 in Missouri, smoking caused 9,600 deaths, 132,000 years of potential life lost (YPLL), $2.4 billion in productivity losses, and $2.2 billion in smoking-related health-care expenditures annually. To limit the adverse health consequences of tobacco use, states implement comprehensive tobacco control programs that identify disparities among population groups and target those disproportionately affected by tobacco use. This report compares the public health burden of smoking among whites and blacks in Missouri by estimating the number of smoking-attributable deaths and YPLL in these population subgroups during 2003-2007. The findings indicate that the average annual smoking-attributable mortality (SAM) rate in the state was 18% higher for blacks (338 deaths per 100,000) than for whites (286 deaths per 100,000). The relative difference in smoking-attributable mortality rates between blacks and whites was larger for men (28%) than women (11%). For Missouri, these estimates provide an important benchmark for measuring the success of tobacco control programs in decreasing the burden of smoking-related diseases in these populations and reaffirm the need for full implementation of the state's comprehensive tobacco control program.",cancer
"Predicting hematologic toxicity in patients undergoing radioimmunotherapy with 90Y-ibritumomab tiuxetan or 131I-tositumomab. This study aimed at identifying clinical factors for predicting hematologic toxicity after radioimmunotherapy with (90)Y-ibritumomab tiuxetan or (131)I-tositumomab in clinical practice. METHODS: Hematologic data were available from 14 non-Hodgkin lymphoma patients treated with (90)Y-ibritumomab tiuxetan and 18 who received (131)I-tositumomab. The percentage baseline at nadir and 4 wk post nadir and the time to nadir were selected as the toxicity indicators for both platelets and neutrophils. Multiple linear regression analysis was performed to identify significant predictors (P < 0.05) of each indicator. RESULTS: For both platelets and neutrophils, pooled and separate analyses of (90)Y-ibritumomab tiuxetan and (131)I-tositumomab data yielded the time elapsed since the last chemotherapy as the only significant predictor of the percentage baseline at nadir. The extent of bone marrow involvement was not a significant factor in this study, possibly because of the short time elapsed since the last chemotherapy of the 7 patients with bone marrow involvement. Because both treatments were designed to deliver a comparable bone marrow dose, this factor also was not significant. None of the 14 factors considered was predictive of the time to nadir. The R(2) value for the model predicting percentage baseline at nadir was 0.60 for platelets and 0.40 for neutrophils. This model predicted the platelet and neutrophil toxicity grade to within +/-1 for 28 and 30 of the 32 patients, respectively. For the 7 patients predicted with grade I thrombocytopenia, 6 of whom had actual grade I-II, dosing might be increased to improve treatment efficacy. CONCLUSION: The elapsed time since the last chemotherapy can be used to predict hematologic toxicity and customize the current dosing method in radioimmunotherapy.",cancer
"Evaluation of metabolic characteristics and viability of lipiodolized hepatocellular carcinomas using 18F-FDG PET/CT. This study aimed to evaluate the metabolic characteristics of lipiodolized hepatocellular carcinomas (HCCs) and the diagnostic accuracy of (18)F-FDG PET/CT in assessing the viability of lipiodolized HCCs. METHODS: Thirty-six patients (age range, 32-73 y) with 38 lipiodolized HCCs who had undergone transcatheter arterial chemoembolization (TACE) with lipiodol before (18)F-FDG PET/CT (2-434 d) and 55 patients (age range, 36-77 y) with 57 treatment-naive HCCs who had not been treated with TACE were retrospectively studied. All patients underwent hepatic lobectomy or transplantation within 1 mo after PET/CT and multiphasic contrast-enhanced CT. (18)F-FDG uptake by lipiodolized and naive HCCs was compared and correlated with tumor size, pathologic grade, serum alpha-fetoprotein (AFP) concentration, and time interval between TACE and PET/CT. The diagnostic accuracy of PET/CT and contrast-enhanced CT in evaluating the viability of lipiodolized HCC was compared. RESULTS: Histologic examination showed 30 viable and 8 nonviable lipiodolized HCCs. Of the 30 viable tumors, 19 showed increased, 10 similar, and 1 decreased (18)F-FDG uptake. Of the 8 nonviable HCCs, 3 showed increased and 5 decreased (18)F-FDG uptake. Uptake by viable lipiodolized HCCs was correlated with tumor size (P < 0.05) but not correlated with pathologic grade, AFP concentration, or interval between TACE and PET/CT. In contrast, (18)F-FDG uptake by naive HCCs was significantly correlated with tumor size and pathologic grade (P < 0.05 for each comparison). When lipiodolized HCCs with (18)F-FDG uptake that was greater than or similar to that in the surrounding normal liver were considered viable, the diagnostic sensitivity of PET/CT and contrast-enhanced CT in the early postembolic period (<3 mo) was 100% and 94%, respectively, and that in the late postembolic period was 93% and 79%, respectively. The specificity of (18)F-FDG PET/CT and contrast-enhanced CT was 63% and 100%, respectively, in the acute period. Three viable lipiodolized HCCs with high AFP concentration were true-positives on PET/CT but false-negatives on contrast-enhanced CT images. CONCLUSION: After TACE, (18)F-FDG uptake in lipiodolized HCCs was not correlated with pathologic grade, in contrast to uptake in treatment-naive HCCs. (18)F-FDG PET/CT showed a high diagnostic sensitivity in assessing the viability of lipiodolized HCCs, with moderate specificity. This method may be useful in determining the viability of lipiodolized HCCs in patients with increased serum AFP concentration or normal results on contrast-enhanced CT images.",cancer
"Mediastinoscopy vs endosonography for mediastinal nodal staging of lung cancer: a randomized trial. CONTEXT: Mediastinal nodal staging is recommended for patients with resectable non-small cell lung cancer (NSCLC). Surgical staging has limitations, which results in the performance of unnecessary thoracotomies. Current guidelines acknowledge minimally invasive endosonography followed by surgical staging (if no nodal metastases are found by endosonography) as an alternative to immediate surgical staging. OBJECTIVE: To compare the 2 recommended lung cancer staging strategies. DESIGN, SETTING, AND PATIENTS: Randomized controlled multicenter trial (Ghent, Leiden, Leuven, Papworth) conducted between February 2007 and April 2009 in 241 patients with resectable (suspected) NSCLC in whom mediastinal staging was indicated based on computed or positron emission tomography. INTERVENTION: Either surgical staging or endosonography (combined transesophageal and endobronchial ultrasound [EUS-FNA and EBUS-TBNA]) followed by surgical staging in case no nodal metastases were found at endosonography. Thoracotomy with lymph node dissection was performed when there was no evidence of mediastinal tumor spread. MAIN OUTCOME MEASURES: The primary outcome was sensitivity for mediastinal nodal (N2/N3) metastases. The reference standard was surgical pathological staging. Secondary outcomes were rates of unnecessary thoracotomy and complications. RESULTS: Two hundred forty-one patients were randomized, 118 to surgical staging and 123 to endosonography, of whom 65 also underwent surgical staging. Nodal metastases were found in 41 patients (35%; 95% confidence interval [CI], 27%-44%) by surgical staging vs 56 patients (46%; 95% CI, 37%-54%) by endosonography (P = .11) and in 62 patients (50%; 95% CI, 42%-59%) by endosonography followed by surgical staging (P = .02). This corresponded to sensitivities of 79% (41/52; 95% CI, 66%-88%) vs 85% (56/66; 95% CI, 74%-92%) (P = .47) and 94% (62/66; 95% CI, 85%-98%) (P = .02). Thoracotomy was unnecessary in 21 patients (18%; 95% CI, 12%-26%) in the mediastinoscopy group vs 9 (7%; 95% CI, 4%-13%) in the endosonography group (P = .02). The complication rate was similar in both groups. CONCLUSIONS: Among patients with (suspected) NSCLC, a staging strategy combining endosonography and surgical staging compared with surgical staging alone resulted in greater sensitivity for mediastinal nodal metastases and fewer unnecessary thoracotomies. TRIAL REGISTRATION: clinicaltrials.gov Identifier: NCT00432640.",cancer
"Chlamydia trachomatis and risk of prevalent and incident cervical premalignancy in a population-based cohort. BACKGROUND: Cofactors might affect the risk of the rare progression from infection with carcinogenic human papillomavirus (HPV) to cervical premalignancy to invasive cancer. Some studies have observed that Chlamydia trachomatis infection is associated with increased risk for cervical cancer. In a large prospective cohort, we assessed the role of C trachomatis in cervical premalignancy and addressed confounding by HPV. METHODS: We identified 182 women with prevalent and 132 women with incident histological cervical intraepithelial neoplasia grade 2 (CIN2), grade 3 (CIN3), or cervical cancer (CIN2+) in the Costa Rica HPV Natural History Study. Control subjects were 995 (approximately 10% of the 10 049) subjects who were randomly selected from the same study. Cervical HPV status at enrollment was determined by MY09/MY11 polymerase chain reaction amplification and dot-blot hybridization. The presence of C trachomatis DNA in cervical exfoliated cells at enrollment was determined by a novel serovar-specific polymerase chain reaction-based C trachomatis detection and genotyping assay. Plasma drawn at enrollment from each subject was used to determine C trachomatis immunoglobulin G (IgG) status. Logistic regression was used to examine the association between C trachomatis and CIN2+, taking into account possible confounding by HPV. RESULTS: C trachomatis positivity at enrollment was associated with CIN2+ and concurrent and subsequent carcinogenic HPV infection. To account for confounding by HPV status, we restricted the analysis to women positive for carcinogenic HPV DNA at enrollment and found no association between C trachomatis status (as assessed by DNA or IgG) at enrollment and combined prevalent and/or incident CIN2+ (for C trachomatis DNA positivity, odds ratio = 0.77, 95% confidence interval = 0.42 to 1.41; for C trachomatis seropositivity, odds ratio = 1.09, 95% confidence interval = 0.85 to 1.41). CONCLUSIONS: We found no association between C trachomatis status, as assessed by DNA or IgG, and risk of cervical premalignancy, after controlling for carcinogenic HPV-positive status. Previous positive associations between C trachomatis and cervical premalignancy could have been caused, in part, by an increased susceptibility to HPV infection.",cancer
"The Mediterranean and Dietary Approaches to Stop Hypertension (DASH) diets and colorectal cancer. BACKGROUND: Although the Mediterranean diet has been studied for cancer mortality and the Dietary Approaches to Stop Hypertension (DASH) diet shares similarities with the Mediterranean diet, few studies have specifically examined these 2 diets and incident colorectal cancer. OBJECTIVE: The objective was to prospectively assess the association between the Alternate Mediterranean Diet (aMed) and the DASH-style diet scores and risk of colorectal cancer in middle-aged men and women. DESIGN: A total of 87,256 women and 45,490 men (age 30-55 y for women and 40-75 y for men at baseline) without a history of cancer were followed for </= 26 y. The aMed and DASH scores were calculated for each participant by using dietary information that was assessed </= 7 times during follow-up. Relative risks (RRs) for colorectal cancer were computed with adjustment for potential confounders. RESULTS: We documented 1432 cases of incident colorectal cancer among women and 1032 cases in men. Comparing top with bottom quintiles of the DASH score, the pooled RR for total colorectal cancer was 0.80 (95% CI: 0.70, 0.91; P for trend = 0.0001). The corresponding RR for DASH score and colon cancer was 0.81 (95% CI: 0.69, 0.95; P for trend = 0.002). There was a suggestion of an inverse association with rectal cancer with a pooled RR of 0.73 (95% CI: 0.55, 0.98; P for trend = 0.31) when comparing top with bottom quintiles of DASH score. No association was observed with aMed score. CONCLUSION: Adherence to the DASH diet (which involves higher intakes of whole grains, fruit, and vegetables; moderate amounts of low-fat dairy; and lower amounts of red or processed meats, desserts, and sweetened beverages) was associated with a lower risk of colorectal cancer.",cancer
"Major urologic problems in geriatrics: assessment and management. Elderly urologic patients require the same cautions as used in development of treatment programs for them in other disciplines. Because of potential interference with poor renal function or crossover effects with central or peripheral nervous system, however, many urologic drugs must be titrated appropriately. In treating cancer, erectile dysfunction, incontinence or urinary infection, patient quality of life and life span become dominant factors in making therapeutic decisions, by behavioral change, medication, or surgical intervention.",cancer
"Use and assessment of PSA in prostate cancer. Since the introduction of prostate-specific antigen (PSA) screening in the late 1980s, more prostate cancers have been detected, and at an earlier stage. As a consequence, the majority of prostate cancers are now detected years before the emergence of clinically evident disease, which usually represents locally advanced or metastatic cancer. PSA screening has remained controversial, because many of the prostate cancers detected are low grade and slow growing. With this long natural history and a median survival without treatment that often approaches at least 15 to 20 years, many clinicians and researchers have questioned if prostate cancer screening and treatment actually improves survival, as many patients will die with prostate cancer rather than of prostate cancer. In this review, the authors discuss the rationale for prostate cancer screening and present the current guidelines for the use of PSA.",cancer
"Evaluation and management of the renal mass. The evaluation and management of renal cell carcinoma (RCC) has evolved in recent decades in response to the changing clinical presentation of the disease. Traditional teaching suggested that RCC usually presents with signs or symptoms. However, RCC discovered this way was usually locally advanced and often metastatic, requiring radical nephrectomy in most cases but often having a poor prognosis. As contemporary general medical practice began routinely using axial body imaging in the evaluation of many nonspecific abdominal complaints, today more than 70% of RCC cases identified are ""screen-detected"" as incidental findings having no attributable symptoms. This change has prompted a significant RCC stage migration over the past 20 years, with most kidney tumors seen in 2010 being smaller, organ-confined, and appropriate for nephron-sparing approaches with the anticipation of a favorable outcome. The approach to addressing patients with these incidentally detected, often localized, small renal masses raises different concerns than those for traditional patients presenting with symptomatic RCC. This article reviews the modern epidemiology of RCC, outlines the components of the evaluation of the incidental renal mass, details the current options of management, and discusses the long-term expectations for these patients.",cancer
"Cavernous hemangioma of the orbital apex: pathogenetic considerations in surgical management. PURPOSE: To consider the pathogenesis and growth of cavernous hemangioma, particularly within the crowded orbital apex, in decisions regarding surgical indications, timing, and technique. DESIGN: A perspective based on analysis of the microanatomic relationships and growth potential of apical cavernous hemangiomas, with representative case studies illustrating management recommendations. METHODS: Analysis of microscopic findings in typical and vision-loss cases; review of tumor growth patterns as reported in observational and interventional studies; consideration of surgical approaches and reported functional outcomes. RESULTS: An ongoing, local hemodynamic imbalance may drive the proliferation of a cavernous hemangioma. Extension into neighboring tissue induces a fibrous capsule, which is continually reconstituted as the lesion expands, and which may incorporate visually critical structures in the confines of the apex. The extent of this microanatomic intimacy is not detectable preoperatively. The tumor's remaining growth potential at the time of diagnosis or following incomplete resection is not predictable. CONCLUSIONS: Patients without significant vision deficits should be observed for progression. Those with significant deficits or signs of progression should be offered timely surgery, with recognition of the risks. The surgical approach should be individualized based on macroanatomic relationships. The decision to intervene should not be a commitment to complete resection at any cost; intraoperative recognition of ""inoperable"" attachments may dictate modifications in order to preserve vision.",cancer
